comment,label,topic,comment_hierarchy,comment_count,topic_distribution,sarcasm_rate,comment_frequency,reply_ratio
标题是yxh取的和周六野有什么关系,0,文娱,1,76,文娱,0.25,2.53,0.26
以色列全民皆兵，哪有妇女儿童,0,时政,1,35,情感,0.74,1.17,0.26
唐口好多卖的,0,社会,1,34,情感,0.74,1.13,0.26
开始这件事就是农村斗殴打死人，并不是什么恶霸欺负村民。从个人情感上我能理解他，但是毕竟是杀了两个人，也不好去称赞这种行为。,0,社会,1,71,社会,0.27,2.37,0.25
总结下她的大概意思: 以色列人得命是命，而巴勒斯坦人的命不是命。,0,时政,1,59,时政,0.42,1.97,0.22
联合国天天谴责奈何主流媒体都是西方把控阿拉伯世界发声量太小,0,时政,1,56,情感,0.43,1.87,0.21
当场豹笑了吗？,1,生活,1,56,社会,0.71,1.87,0.2
六个多小时了，你的证据呢,1,社会,1,103,生活,0.63,3.43,0.18
我回的是那人说的高利贷,0,社会,1,66,社会,0.45,2.2,0.18
啊，我希望我只是简单的小问题，我还打算过几天去拍个片子看看,0,生活,1,48,情感,0.4,1.6,0.17
一个女生进男浴室，只要浴室里的人不是全员残疾，随便上来两个人都能把人抓到吧，屁证据没有，连老师名字都没曝光出来，放个不知道哪里来的录音就搁这儿虚空索敌。看看前段时间高校女生怎么维权的吧，从涉事男生到包庇老师的专业班级姓名全都写得清清楚楚。,1,社会,1,168,生活,0.69,5.6,0.14
那也不用让别人包容体谅了，大家都一样,0,情感,1,63,文娱,0.51,2.1,0.14
看看停机坪,1,情感,1,23,文娱,0.78,0.77,0.13
看新闻要看完整的全貌，你去找找，家属怎么说的，家属是什么情况，救护车上的病人都说借东西了，说明车上的病人不着急或者死不了，官方都说不妥了，你这跳什么高,1,社会,1,160,社会,0.67,5.33,0.12
没事你们会洗,1,时政,1,26,情感,0.81,0.87,0.12
今天快被淋死了，还没结束就发烧了十年终于在西安看了你的专属演唱会，哭泣。,0,文娱,0,28,文娱,0.21,0.93,0.89
魔鬼,0,时政,0,26,时政,0.19,0.87,0.85
啥时候回家啥时候回家啥时候回家,0,文娱,0,41,文娱,0.1,1.37,0.83
看得出来你很喜欢这件蓝色皮衣了,0,文娱,0,29,社会,0.21,0.97,0.83
楠楠也喜欢花吗！,0,文娱,0,28,情感,0.21,0.93,0.82
欧美媒体告诉你 以色列先打电话通知要炸你,1,时政,0,152,时政,0.36,5.07,0.81
码是不是太薄了,0,社会,0,91,情感,0.15,3.03,0.81
早知今日何必当初,0,时政,0,42,文娱,0.12,1.4,0.81
计量单位都用上吨了缉毒英雄平安顺利！,0,社会,0,37,文娱,0.14,1.23,0.78
下次再来,0,文娱,0,126,时政,0.19,4.2,0.75
科技改变世界,0,时政,0,91,社会,0.14,3.03,0.75
自己人都不敢待在周边还好意思说没什么危害，真是表子里牌坊又当又立,1,时政,0,20,文娱,0.7,0.67,0.75
老公！！,0,文娱,0,72,社会,0.08,2.4,0.74
这在港片里都是很罕见的,0,社会,0,124,社会,0.16,4.13,0.73
媒体你们做好防护呀,0,时政,0,69,时政,0.09,2.3,0.72
架不住睁眼瞎,1,时政,0,95,社会,0.61,3.17,0.71
这就是屠城吧？！,0,时政,0,72,文娱,0.07,2.4,0.71
自己都知道附近撤离然后现在祸害整个世界？,1,时政,0,45,文娱,0.73,1.5,0.71
这个量是不是可以枪毙一分钟那种？,0,社会,0,10,时政,0.1,0.33,0.7
所以各种热搜都搞的是以色列被害一样 渣浪也很恶心,1,时政,0,95,社会,0.79,3.17,0.69
苍天……虽然艰难但我们总会生活在一个人身安全有保障的国度,0,时政,0,32,时政,0.16,1.07,0.69
棒棒棒,0,社会,0,44,时政,0.11,1.47,0.68
给我回来广州重新唱！,0,文娱,0,28,文娱,0.14,0.93,0.68
人类文明的进步,0,时政,0,12,社会,0.08,0.4,0.67
西方之前在南联盟、阿富汗、伊拉克不都是这么干的？一脉相承,1,时政,0,121,社会,0.23,4.03,0.64
忙了一天，就想见到你,0,文娱,0,39,文娱,0.15,1.3,0.64
“正义联盟”在崩溃，神奇女侠，你还是去漫威宇宙混一混吧,1,时政,0,25,时政,0.72,0.83,0.64
可怜可悲，西方人被洗脑的连历史都不了解,0,时政,0,11,社会,0.09,0.37,0.64
俄罗斯要是战争开始就这样轰炸乌克兰战争结果会是什么样子的？,0,时政,0,147,社会,0.52,4.9,0.63
美国的经济命脉掌握在犹太人手里，犹太人为以色列发声太正常不过了。,0,时政,0,38,文娱,0.13,1.27,0.63
日更博主哇哇招人稀罕,0,文娱,0,35,文娱,0.14,1.17,0.6
你支持以色列可以，毕竟你是以色列人，但你不能让我也支持以色列，跟我有什么关系,0,时政,0,9,社会,0.22,0.3,0.56
这辐射量…总台记者去一趟都该报工伤,0,时政,0,107,社会,0.12,3.57,0.54
生活不论好与坏，每天都是限量版,0,文娱,0,109,社会,0.13,3.63,0.52
地球可以没有日本，但是绝对不能没有海洋,0,时政,0,108,文娱,0.12,3.6,0.51
下回我还来,0,文娱,0,8,生活,0.25,0.27,0.5
偷拍就是不对的，无论男女，报警处理,0,社会,0,6,社会,0.33,0.2,0.5
哥快跟嫂子报备一下现场太热了可以脱背心吗,0,文娱,0,119,社会,0.24,3.97,0.44
希望以后都是好事情,0,时政,0,23,社会,0.17,0.77,0.43
这是对平民下手，以色列犹太人这么王八,0,时政,0,24,情感,0.54,0.8,0.42
致敬缉毒警！,0,社会,0,20,社会,0.5,0.67,0.4
世界正面临多重危机和挑战,0,时政,0,18,社会,0.67,0.6,0.39
这可是成都啊！居然让他们加班,1,社会,0,80,情感,0.65,2.67,0.38
好喜欢好喜欢好喜欢,0,文娱,0,21,时政,0.52,0.7,0.38
太帅了哥,0,文娱,0,16,文娱,0.69,0.53,0.38
咱就是说，这个封面搞得还怪好的，李宇春看到了也要给你点个赞,0,文娱,0,127,文娱,0.27,4.23,0.35
真的！现场炸裂！,0,文娱,0,81,情感,0.65,2.7,0.35
我今天就不要脸的期待一下章哥会不会翻到我,0,文娱,0,23,文娱,0.57,0.77,0.35
哥，我其实想看唱跳版,0,文娱,0,134,社会,0.3,4.47,0.33
中国的伟大复兴指日可待,0,时政,0,86,社会,0.7,2.87,0.33
支持加朵，绿就是癌,0,时政,0,84,社会,0.68,2.8,0.32
弱者是没有话语权的。,0,时政,0,128,时政,0.28,4.27,0.31
啥时候唱跳一起来,0,文娱,0,88,生活,0.72,2.93,0.31
帅哦！,0,文娱,0,131,时政,0.31,4.37,0.29
全新的一整套服装好好看呐，肉眼可见确实热的有在喷泉,0,文娱,0,34,社会,0.76,1.13,0.29
哇呜呜呜好帅,0,文娱,0,74,文娱,0.24,2.47,0.28
这不是屠城？什么人道人权在哪里？川普说的没错，他在的话，这些还真不会发生。,0,时政,0,79,文娱,0.23,2.63,0.27
偷拍就是不对啊？难道纵容这种行为？,1,社会,0,111,社会,0.6,3.7,0.25
大哥的绿皮肤真的太绝了！,0,文娱,0,78,时政,0.26,2.6,0.24
支持巴勒斯坦没问题。但是支持哈马斯这个恐怖组织我是没想到的,0,时政,0,57,社会,0.44,1.9,0.23
没人不能理解孩子哭，但有些家长就觉得孩子就该哭，别人就该忍着！坐飞机遇到哭的孩子，家长非常着急，这种情况没有人会说什么，因为大家看到了家长的努力！,0,社会,0,102,社会,0.62,3.4,0.22
好性感,0,文娱,0,78,时政,0.26,2.6,0.22
叙利亚和巴勒斯坦妇女儿童也是人以色列打别人怎么没人谴责。,0,时政,0,48,社会,0.71,1.6,0.21
加油巴勒斯坦,0,时政,0,54,情感,0.41,1.8,0.2
可以参考这次梅奔的强实名退票程序,0,文娱,0,68,情感,0.46,2.27,0.19
愿：核污水回流日本，然后发生海啸地震,0,时政,0,59,时政,0.47,1.97,0.19
一带一路，共商共享共建,0,时政,0,51,社会,0.35,1.7,0.18
支持以色列的人是不是该支持俄罗斯？让乌克兰情何以堪,0,时政,0,64,文娱,0.47,2.13,0.17
AI正在加速渗透各行各业,0,时政,0,61,情感,0.49,2.03,0.16
日本人是怎么做到，一代比一代坏，坏的如此的精准,0,时政,0,52,时政,0.38,1.73,0.15
科学技术是第一生产力,0,时政,0,49,社会,0.37,1.63,0.14
科技兴国,0,时政,0,51,文娱,0.39,1.7,0.12
30年想问问世界少一个岛影响会很大吗？,1,时政,0,90,社会,0.64,3,0.06
